NDC,Catalog Number,Price
01817733803,000123,91.49
04483165782,000420,17.10
24103080162,000600,138.17
01134887345,001037,11.02
50715040456,001128,28.92
08150218305,001168,13.68
51122003008,001187,15.51
08085131855,001386,115.56
04787042831,001463,29.94
53678256805,001644,34.82
04208310864,002350,12.55
71036072713,002362,48.70
03865864401,002406,26.17
08850027714,002506,67.43
14882010167,002588,7.63
50874782801,002817,83.59
06070878245,002857,88.60
08602305437,003457,63.79
08208100343,003543,2.60
65505011065,003562,53.30
57076243107,003617,6.71
00176385131,003632,6.54
72181606503,003671,18.13
35738063762,003756,186.62
63657600408,003778,36.18
36834060417,003864,1.20
43108652205,005053,2.61
72747568803,005403,12.42
06182405174,005465,57.51
64461301804,005580,17.90
40332427705,006011,19.91
28243223508,006113,47.17
56668047717,006120,29.56
05034035737,006306,36.21
05451773044,006318,48.91
82328441503,006323,71.42
01216328600,007773,78.72
04261561487,008241,172.90
01342516835,008316,41.45
17488065307,008415,56.57
23181632708,008458,11.27
08032810074,008621,107.15
88503613402,008636,94.18
03825878782,010038,18.54
26876023170,010260,131.01
01654844357,010402,24.65
84341078570,010403,31.30
03100731867,010757,18.43
65411178506,011016,18.50
27723100202,011071,29.51
50330257108,011258,20.60
02021315073,011355,4.91
83026088720,011760,27.14
02552743162,012041,41.21
55545051773,012338,36.98
32254050511,012421,56.92
02373336303,012425,4.62
45301085636,012868,79.74
31010371702,013052,1.32
02827603141,013112,45.90
43508048117,013114,68.20
34081006502,013556,179.73
82561846005,013575,147.12
03165778276,013883,176.91
22106074786,014023,49.25
06724816538,014176,21.83
42688077181,014257,2.10
28684448807,014310,19.46
05183681318,014405,61.75
81124066500,014445,192.75
08637068534,014458,188.68
50270056847,014521,63.75
33821054060,014863,190.44
73366042202,015021,22.43
68773716105,015126,5.80
20404337007,015151,46.96
07467828484,015155,18.74
04317625378,015644,88.50
00278860110,016034,23.81
20685081153,016307,25.26
02212763478,016316,48.98
25027066667,016321,49.50
51723046201,016328,23.80
75345068181,016426,17.23
08335034601,016432,30.82
70342457702,016517,171.98
22603715601,016613,2.78
08730055706,016747,3.29
03478372015,016755,14.64
08521706406,016773,84.00
08754774070,017270,7.10
55765018025,017304,50.21
40632025818,017361,117.26
10245012424,017557,120.78
35244724800,018054,15.12
00070310883,018442,43.32
48175066722,018578,100.50
60623020384,018616,91.24
05522686578,018720,15.78
05370204306,018722,8.65
34300064004,018741,6.91
65005276000,018784,112.21
66207074887,018844,69.28
00628414617,020067,81.81
02681857206,020125,85.39
25372086604,020172,20.90
00583010212,020250,64.45
86213185300,020315,28.47
75164057005,020337,44.65
57032771302,020844,28.45
67627086035,021057,119.23
05028581244,021104,26.40
05641288723,021268,54.79
22224381303,021581,90.79
07304287635,021878,44.27
74581521404,022108,104.72
13063063108,022375,10.34
03475027178,022441,30.08
04668848501,022517,1.69
05558623631,022663,73.41
07027542706,022846,31.92
02823268671,023221,124.87
07564240508,023372,5.93
08745771008,023377,45.20
00026005508,023582,2.92
46815052111,023780,6.46
05431210658,024310,7.38
03677021834,024410,14.21
07850058422,024467,43.99
08115088517,024665,35.55
06670780505,024681,54.27
30118012361,024688,141.71
63673011705,024824,9.27
32041341203,025043,62.23
04623624626,025051,39.35
04637400581,025064,39.95
55002052578,025323,57.13
00657778127,025376,29.39
37402085652,025472,13.67
64724128808,025531,15.31
07483248004,025648,102.50
43854568401,026324,83.99
73615527700,026373,65.83
07142885573,026722,61.55
42646041044,026754,83.89
58366273206,026848,5.86
13426022472,027000,72.27
14803476504,027017,20.89
02445436281,027064,10.70
05041547237,027123,18.37
83577044705,027280,86.76
43477037505,027667,37.77
83083283506,027867,56.24
06668336648,028230,2.39
40202620408,028261,33.18
00705070231,028412,57.45
02143060400,028508,190.10
03750686345,028542,41.41
06708557147,030105,47.20
00348262243,030106,37.67
07337065566,030583,61.66
36724234406,030615,32.74
61843032202,031251,148.37
07730273586,031264,40.00
66513872401,031317,75.64
83303558805,031332,4.90
51074550804,031505,122.30
07183286375,031567,40.30
22607457705,031854,33.15
41618032561,032027,49.39
00736377403,032161,25.24
48130863000,033002,7.40
03402638304,033035,5.77
75540767304,033165,18.44
40083818203,033255,21.32
03140013627,033315,76.39
85221007334,033466,46.40
81173254603,033580,19.32
01827557627,033656,67.86
18555050648,034508,34.82
31225056700,034703,96.54
72261721700,035155,85.56
00300601177,035285,67.80
80080012421,035407,91.40
06810181370,035440,25.08
