NDC,Quantity,Cost,Extended Cost
03473655653,11,25.83,284.13
58806031461,2,138.62,277.24
03382524317,1,57.27,57.27
48870642306,1,43.59,43.59
07505081328,3,27.89,83.67
15538078068,19,63.73,1210.87
24866035020,2,39.24,78.48
64627327803,2,111.63,223.26
03234048842,6,16.60,99.60
47358047775,18,23.99,431.82
53244005777,1,104.10,104.10
53562038122,2,46.10,92.20
56430043707,14,31.18,436.52
77521013605,4,174.32,697.28
02804315005,4,12.50,50.00
60134272402,2,41.67,83.34
81732011217,5,108.54,542.70
55671070167,1,157.45,157.45
71337082711,3,116.82,350.46
28626003780,11,69.97,769.67
27151627202,17,183.30,3116.10
17585231808,4,40.78,163.12
63673011705,8,9.27,74.16
31558488102,4,33.91,135.64
01821626048,6,6.78,40.68
53311770001,1,13.82,13.82
55173737601,10,27.99,279.90
71476658706,2,37.74,75.48
46815052111,11,6.46,71.06
00003373040,1,54.30,54.30
17785085422,1,62.65,62.65
02355416541,10,28.37,283.70
88154288000,6,20.78,124.68
66850453001,2,96.97,193.94
18348132402,5,5.90,29.50
71252031233,1,2.28,2.28
78820222201,2,34.09,68.18
86031020252,6,46.32,277.92
00327503660,2,35.11,70.22
01463031153,2,182.90,365.80
28722612208,4,90.82,363.28
71822003457,24,25.80,619.20
06125836247,3,49.35,148.05
00345328118,3,30.01,90.03
15663074410,4,26.60,106.40
06184242283,6,90.27,541.62
08521706406,16,82.35,1317.60
04284806604,3,27.25,81.75
70082081801,2,34.42,68.84
01027606072,22,57.87,1273.14
65733075417,5,22.18,110.90
04718852412,1,13.20,13.20
65314078761,21,7.99,167.79
05681033725,2,60.17,120.34
18853783508,3,20.55,61.65
75813747508,7,8.98,62.86
07612418480,6,11.28,67.68
04378560202,2,20.22,40.44
63801183200,2,34.31,68.62
67754055345,2,23.54,47.08
54857045625,6,30.26,181.56
03545672641,6,6.68,40.08
78403750806,3,48.70,146.10
07841530200,6,13.22,79.32
56044011428,3,89.19,267.57
06354351000,4,29.29,117.16
80642063357,5,48.84,244.20
